epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7337,1.35609,2.35863,1.24897,0.66293,0.22687,0.39086,0.2356,1.2862,2.79597,1.24615,0.000328889,0.000328889,0.000328889
2,41.3144,1.43081,1.86694,1.32209,0.48892,0.40867,0.40362,0.22829,1.53078,2.17474,1.47643,0.000635998,0.000635998,0.000635998
3,60.8888,1.47106,1.78316,1.35518,0.40424,0.37058,0.33683,0.16697,1.65778,2.24261,1.5388,0.000916708,0.000916708,0.000916708
4,80.3792,1.53584,1.74892,1.39163,0.4679,0.43329,0.3998,0.20378,1.59137,1.86466,1.48213,0.0008812,0.0008812,0.0008812
5,100.09,1.51473,1.63027,1.38093,0.46851,0.4452,0.42271,0.21689,1.66679,1.7302,1.55566,0.0008416,0.0008416,0.0008416
6,119.739,1.48389,1.54999,1.35811,0.47786,0.47514,0.4474,0.24007,1.60059,1.74237,1.50677,0.000802,0.000802,0.000802
7,139.396,1.47308,1.51477,1.37345,0.56896,0.44934,0.49088,0.27544,1.48372,1.57551,1.41863,0.0007624,0.0007624,0.0007624
8,159.023,1.44645,1.45629,1.33665,0.57031,0.45227,0.4946,0.27849,1.51872,1.45381,1.45645,0.0007228,0.0007228,0.0007228
9,178.745,1.43277,1.42167,1.34542,0.55013,0.50597,0.51641,0.29233,1.47022,1.39242,1.38449,0.0006832,0.0006832,0.0006832
10,198.537,1.40157,1.37863,1.31102,0.61868,0.46856,0.50647,0.28322,1.46869,1.39457,1.40033,0.0006436,0.0006436,0.0006436
11,218.329,1.3835,1.35233,1.31327,0.63079,0.50949,0.54806,0.30558,1.38833,1.36529,1.31001,0.000604,0.000604,0.000604
12,238.22,1.38402,1.3244,1.30094,0.63781,0.51738,0.5604,0.30795,1.45909,1.37235,1.37339,0.0005644,0.0005644,0.0005644
13,258.114,1.34232,1.27988,1.27241,0.56374,0.50804,0.53504,0.30388,1.4366,1.3768,1.35997,0.0005248,0.0005248,0.0005248
14,278.028,1.33363,1.26248,1.27738,0.59376,0.52684,0.55209,0.31477,1.40638,1.32658,1.34749,0.0004852,0.0004852,0.0004852
15,297.981,1.31829,1.23291,1.2618,0.58519,0.53807,0.55642,0.32025,1.38724,1.2946,1.32949,0.0004456,0.0004456,0.0004456
16,319.077,1.31125,1.23307,1.2514,0.61442,0.50809,0.56428,0.32167,1.3764,1.26213,1.32114,0.000406,0.000406,0.000406
17,339.013,1.2855,1.18151,1.24154,0.60222,0.54796,0.57843,0.33185,1.37278,1.23485,1.31894,0.0003664,0.0003664,0.0003664
18,358.899,1.25388,1.13378,1.22375,0.61917,0.55981,0.59977,0.34952,1.35366,1.21648,1.29458,0.0003268,0.0003268,0.0003268
19,378.797,1.23763,1.09667,1.20969,0.62859,0.539,0.58741,0.33586,1.38573,1.24551,1.32255,0.0002872,0.0002872,0.0002872
20,398.696,1.21421,1.07137,1.1969,0.6504,0.52547,0.59289,0.34398,1.35211,1.20374,1.31222,0.0002476,0.0002476,0.0002476
21,418.651,1.1925,1.03248,1.17465,0.66993,0.56157,0.61923,0.36074,1.32367,1.15279,1.28694,0.000208,0.000208,0.000208
22,438.658,1.17783,1.00694,1.17058,0.61197,0.57313,0.60435,0.35565,1.33631,1.14583,1.29287,0.0001684,0.0001684,0.0001684
23,458.641,1.16009,0.98186,1.15487,0.62463,0.56959,0.61746,0.36272,1.29769,1.14075,1.27354,0.0001288,0.0001288,0.0001288
24,478.683,1.14568,0.96,1.14864,0.67098,0.55651,0.6265,0.37436,1.28776,1.09453,1.2698,8.92e-05,8.92e-05,8.92e-05
25,497.203,1.12229,0.93535,1.13585,0.71696,0.54065,0.62392,0.37068,1.29896,1.09607,1.27552,4.96e-05,4.96e-05,4.96e-05
